source,target,value
7.00687E+17,109361219,2/19/16 14:32
4861847055,337502808,2/19/16 14:32
141681632,17539069,2/19/16 14:32
4859336366,2687402868,2/19/16 14:32
20084570,3387188439,2/19/16 14:32
27463702,594886554,2/19/16 14:32
2743908812,149249831,2/19/16 14:32
2604459826,16569075,2/19/16 14:32
191507439,1658365022,2/19/16 14:32
2943934239,3730174095,2/19/16 14:32
3128005156,18080729,2/19/16 14:32
583117972,16955991,2/19/16 14:32
319221674,351951741,2/19/16 14:32
2820595908,18767699,2/19/16 14:32
16373001,16955991,2/19/16 14:32
4299488123,34351681,2/19/16 14:32
2172753872,17586312,2/19/16 14:32
2173735015,605679008,2/19/16 14:32
161013818,474464413,2/19/16 14:32
3408762575,3497865853,2/19/16 14:32
872342143,5695632,2/19/16 14:33
3301865714,34351681,2/19/16 14:33
548462015,561614650,2/19/16 14:33
1855376239,2274924564,2/19/16 14:33
2880256491,4774532193,2/19/16 14:33
1149053460,2832807293,2/19/16 14:33
24005777,28785486,2/19/16 14:33
40157789,16389971,2/19/16 14:33
21579498,326255267,2/19/16 14:33
447355801,14434063,2/19/16 14:33
257988095,1541028804,2/19/16 14:33
98993077,16193222,2/19/16 14:33
391730154,192353568,2/19/16 14:33
2859247789,2274924564,2/19/16 14:33
284690686,2832807293,2/19/16 14:33
4485831863,21426423,2/19/16 14:33
4919936074,2998408203,2/19/16 14:33
621304594,1187647735,2/19/16 14:33
77624785,1616169078,2/19/16 14:33
466559230,16955991,2/19/16 14:33
822647,97474887,2/19/16 14:33
570859259,97474887,2/19/16 14:33
433851538,1856030857,2/19/16 14:33
3239381625,2679989365,2/19/16 14:33
28164691,358091193,2/19/16 14:33
316783560,139610735,2/19/16 14:33
